id,brand,x,y,name,category,likes,talking
124,Massachusetts_Institute_of_Technology_MIT_,-5.299579004,-12.28649088,Massachusetts_Institute_of_Technology_MIT_,Education,111478,3879
125,Northwestern_University,0.517084429,19.87877225,Northwestern_University,Education,47149,1343
126,Princeton_University,-5.006608622,-11.69062161,Princeton_University,University,84805,2172
127,Stanford_University,-5.274667552,-12.18283442,Stanford_University,Education,387949,7631
128,The_Ohio_State_University,-21.73068052,11.62930444,The_Ohio_State_University,University,448796,10064
129,University_of_Virginia,-13.92589516,-13.70345599,University_of_Virginia,University,69181,5529
130,University_of_Wisconsin_Madison,-27.50626556,-4.909251493,University_of_Wisconsin_Madison,University,155988,2955
131,30_Rock,4.992000621,-24.34515725,30_Rock,Tv_show,2395717,12143
132,50_Cent,14.67894093,5.011786357,50_Cent,Musician_band,23859716,315464
133,adidas,22.15430663,5.391684731,adidas,Company,8329285,102707
134,Air_Canada,23.47750931,26.88114965,Air_Canada,Company,99153,1492
135,Air_France,22.80915862,25.73358434,Air_France,Travel_leisure,802420,22369
136,AMD,-0.031141836,-41.52954794,AMD,Product_service,652892,51747
137,American_Airlines,23.04385397,28.47720576,American_Airlines,Travel_leisure,407732,9818
138,American_Idol,-15.76803698,-24.21227268,American_Idol,Tv_show,9458396,100789
139,Anderson_Cooper_360,-8.089003445,-18.01415251,Anderson_Cooper_360,Tv_show,709266,11800
140,Arizona_Cardinals,-16.89936685,2.892402216,Arizona_Cardinals,Professional_sports_team,509468,51888
141,Arsenal,25.87532323,11.28823104,Arsenal,Professional_sports_team,10743091,323209
142,Atlanta_Hawks,-24.68924254,5.10754685,Atlanta_Hawks,Professional_sports_team,257308,3385
143,Austrian_Airlines,23.26906883,25.54547678,Austrian_Airlines,Company,92322,1097
145,BBC_America,-3.82663872,-23.96641402,BBC_America,Tv_network,242974,10171
146,Bergdorf_Goodman,8.00757319,28.57202548,Bergdorf_Goodman,Retail_and_consumer_merchandise,158675,2592
147,Best_Buy,-5.118527178,-3.204612228,Best_Buy,Retail_and_consumer_merchandise,6319650,57986
148,Best_Western,-4.840982121,29.19353684,Best_Western,Travel_leisure,482778,3700
149,Beyonc_,18.72163845,5.214200975,Beyonc_,Musician_band,37100061,307930
150,Big_Time_Rush,24.37926233,-9.113699432,Big_Time_Rush,Musician_band,4339718,62492
151,Black_Eyed_Peas,23.38532529,1.443619069,Black_Eyed_Peas,Musician_band,33247308,240042
152,Blake_Griffin,-19.34441316,5.356417199,Blake_Griffin,Athlete,1775159,59475
153,Bloomingdale_s,7.431069415,29.00731358,Bloomingdale_s,Retail_and_consumer_merchandise,199193,3291
154,Bones,-17.05947634,-26.73683629,Bones,Tv_show,10818319,110568
155,Boston_Celtics,-21.90287568,2.811566035,Boston_Celtics,Professional_sports_team,6655002,36710
156,Britney_Spears,20.77463239,1.972762282,Britney_Spears,Musician_band,19886904,282381
157,Buffalo_Bills,-14.00300827,-12.8139679,Buffalo_Bills,Professional_sports_team,414053,38243
158,Carolina_Panthers,-22.12534147,-1.249398162,Carolina_Panthers,Professional_sports_team,527382,68854
159,Castle,-16.46448351,-26.72060253,Castle,Tv_show,2564947,14118
160,Cathay_Pacific_Airways_,23.36513621,25.94282052,Cathay_Pacific_Airways_,Travel_leisure,154178,2550
161,Charlotte_Bobcats,-22.17923192,-0.86851765,Charlotte_Bobcats,Professional_sports_team,121819,4841
162,Chase,-16.21296031,-26.46473366,Chase,Tv_show,88799,206
163,Newt_Gingrich,-26.94690326,-17.25771123,Newt_Gingrich,Public_figure,293717,46831
164,Microsoft_Developer,-0.754288694,-39.45504227,Microsoft_Developer,Computers_technology,43271,662
165,Allstate_Insurance,-7.607455205,-3.444540572,Allstate_Insurance,Insurance_company,88805,7121
166,Ball_Park_Franks,-12.23770595,33.39073758,Ball_Park_Franks,Product_service,207711,22439
167,Brunswick_Billiards,-10.25348604,-4.708385184,Brunswick_Billiards,Company,3882,42
168,Brunswick_Zone_Bowling,-5.185836007,27.7925311,Brunswick_Zone_Bowling,Product_service,46699,344
169,Chelsea_Football_Club,25.99511913,11.02366909,Chelsea_Football_Club,Professional_sports_team,11261288,219557
170,Chicago_Bears,0.630465033,22.67110716,Chicago_Bears,Professional_sports_team,2577035,177467
171,Chicago_Bulls,-1.122069307,22.65319166,Chicago_Bulls,Professional_sports_team,7029042,32227
172,Chris_Brown,18.42215843,5.266252573,Chris_Brown,Musician_band,23088227,296687
173,Cincinnati_Bengals,-24.81519593,11.73231521,Cincinnati_Bengals,Professional_sports_team,615392,13857
174,Circuit_City,-5.280910456,-3.758511186,Circuit_City,Company,33895,53
175,Cisco,0.828266669,-39.86586068,Cisco,Computers_technology,332387,4080
176,Citro_n,11.45071665,-2.523579237,Citro_n,Cars,512034,4281
177,Cleveland_Cavaliers,-20.8728161,9.458993567,Cleveland_Cavaliers,Professional_sports_team,889574,6209
178,CNN_International,-6.060322394,-18.07263706,CNN_International,Tv_network,1204599,25878
